docId,filename,0 fhir resource patient,1 image images dicom,2 type device list,3 message messages send,4 heart rate watch,5 niftynet image label,6 dicom file image,7 app healthkit health,8 segment field segments,9 oauth url information,10 google fit api,11 python pydicom frame,12 data read information,13 database document xml,14 server request service,15 class project create,16 code method function,17 dicom server study,18 error code project,19 find don set
2907,file2907.txt,0.41201733771952315,0.005918157319463288,0.004834836743233465,0.00481271636019007,0.003244609472719106,0.001223022745865798,0.010681118653961813,0.06488409126882816,0.004603894795548653,0.0023923937115857153,0.006537420618363106,0.002773967409723015,0.01043873359636322,0.063321046608915,0.06235066144875055,0.007146788276705049,0.007983201871962782,0.002700529321098903,0.011918498239107074,0.3102169738180921
2908,file2908.txt,0.004704424034214549,0.004587848910564527,0.0037480417109311682,0.0037308936410559135,0.002515272445642197,9.481065252798819E-4,0.008280171670839128,0.005342325990039373,0.0035690118700709215,0.0018546213442557399,0.0050679115884974925,0.0021504232942211473,0.00809227095066333,0.04908747419490061,0.18320575155616395,0.005540303009770301,0.006188704022897232,0.45166194374563956,0.009239407844401732,0.24048509164995122
2909,file2909.txt,0.0032453962636712574,0.034178926813898364,0.0025856258866705077,0.31271330733088365,0.0017351870787653937,6.54061230945012E-4,0.005712163276026737,0.003685459618710238,0.5607132404692905,0.001279429987049939,0.0034961519655343064,0.0014834920648351287,0.036596489115372055,0.0028495578190580076,0.002330604827796493,0.003822036142309008,0.004269342382150148,0.0014442180555772448,0.006373902411576015,0.010831407259879999
2910,file2910.txt,6.256929281947657E-4,0.08432044014638156,4.984931579408922E-4,4.962124481292121E-4,0.012293141061296494,1.2609908114755616E-4,0.5093420854414082,7.105345027931408E-4,4.746820166518835E-4,2.4666642529251316E-4,6.740371230521114E-4,2.860083695759176E-4,0.0010762798315036124,0.06034241466665113,4.493266278427435E-4,7.368656371232542E-4,8.231035964562668E-4,0.18563685132477395,0.031125368651207394,0.1097156969625774
2911,file2911.txt,0.0013205251899444058,0.001287802717186603,0.0641486849933063,0.0010472565819293338,7.060334272350828E-4,2.661321641665706E-4,0.002324232507291979,0.001499583369065822,0.0767177545640022,0.2781456954734018,0.11499646258390155,6.036207851183572E-4,0.002271489040207328,0.0011594617650827206,9.483040383579678E-4,0.014174478233691815,0.07745309845574058,0.24035477740698508,0.015212811742501784,0.1053617949608828
2912,file2912.txt,0.002312884382289779,0.002255571355042937,0.0018426883024014445,0.001834257620406701,0.001236609267026022,4.6612736418284804E-4,0.004070865976552973,0.17944727242657338,0.0017546700200616757,9.118065699421068E-4,0.002491589507793648,0.0010572347255144137,0.33551742968190884,0.0020307836826913275,0.0016609434009152147,0.002723836161718408,0.06935040487576442,0.0010292454646468646,0.22556842730377702,0.16243735191078998
2913,file2913.txt,0.0010760930142124725,0.0010494275445867762,8.573294993769378E-4,0.3504909787736595,5.753450556139323E-4,2.1687050341610693E-4,0.001894011854940635,0.011505465114801265,8.163780971044921E-4,4.242272928733042E-4,0.0011592373938585897,0.24729488103625288,0.0018510313219622916,9.448427906964094E-4,7.727708329967164E-4,0.0012672925148911568,0.10425018810651536,4.7886693468000423E-4,0.13579838206000003,0.13727638025756125
2914,file2914.txt,0.04752470817295165,0.004390467350071464,0.0035867909077512412,0.08961574274100942,0.002407058681400129,9.073164406189702E-4,0.007923936485809992,0.005112484802778726,0.0034154634106369815,0.0017748305616495411,0.4350766871804771,0.002057906318660639,0.05076680083198789,0.003952918374308949,0.0892783867889225,0.005301944320329869,0.0059224493834612426,0.0020034252508297047,0.008841903747403155,0.23013877824894083
2915,file2915.txt,0.4093160297687727,0.004587848910564527,0.0037480417109311682,0.0037308936410559135,0.002515272445642197,9.481065252798819E-4,0.008280171670839128,0.005342325990039373,0.0035690118700709215,0.0018546213442557399,0.0050679115884974925,0.0021504232942211473,0.00809227095066333,0.004130629113283036,0.0033783712296936623,0.050497148091387875,0.006188704022897232,0.047050338011081425,0.009239407844401732,0.42031247197642146
2916,file2916.txt,0.006068534965882299,0.005918157319463288,0.004834836743233465,0.00481271636019007,0.003244609472719106,0.001223022745865798,0.18465917697695075,0.006891405161165189,0.5845307558721784,0.0023923937115857153,0.006537420618363106,0.002773967409723015,0.01043873359636322,0.005328360501252023,0.004357975341087582,0.007146788276705049,0.007983201871962782,0.002700529321098903,0.06991118434677004,0.07824622938744022
