docId,filename,0 fhir resource patient,1 data database information,2 error code problem,3 dicom image file,4 find type set,5 tag data values,6 app healthkit data,7 google fit api,8 server send application,9 hl7 message xml
1874,38663875.txt,0.003501637699388102,0.005523978854026648,0.8097523880538703,0.006663883141297807,0.009718921897108492,0.003306064789002061,0.1506701290739185,0.003898499780912771,0.003372863604786355,0.003591633105688883
1875,38666079.txt,0.6790741179660147,0.049661999836912586,0.019512612733540824,0.002883738505907904,0.14602041595353857,0.0014306712967380754,0.0021724844200787206,0.001687042478854488,0.09600266826198005,0.0015542485464340708
1876,38669767.txt,0.0019843110503987736,0.0031303330679041054,0.6239451362140818,0.003776295005663789,0.0055075269842351305,0.0018734836260465952,0.353627061896528,0.0022092051946419862,0.001911337236183786,0.002035309724316116
1877,38709348.txt,0.0019056670490993233,0.0030062688906620904,0.12362158185142648,0.0036266294835810248,0.14400439748926097,0.0017992320369664974,0.0027321464946758016,0.0021216479862278814,0.7152277842204233,0.001954644497676506
1878,38711226.txt,0.0019843110503987736,0.044398822931660614,0.6033108912822035,0.003776295005663789,0.23248422123489593,0.0018734836260465952,0.1060161227139889,0.0022092051946419862,0.001911337236183786,0.002035309724316116
1879,38712021.txt,0.0019441940736872056,0.0030670468715392144,0.5304624640756638,0.0036999493446507234,0.1266986652835028,0.001835607256320936,0.3262606742995138,0.0021645415148591634,0.0018726955769658282,0.0019941617032965243
1880,38712786.txt,0.004940928717465913,0.0077945201924528515,0.012245278392302411,0.009402963530015953,0.013713726098112047,0.004664968754659471,0.5722550933164406,0.3137761720102865,0.004759224133295304,0.056447124854968805
1881,38713466.txt,0.0020261184752786775,0.08747223634489687,0.04715937624169636,0.0038558577182445197,0.08989951533033134,0.044050931193527675,0.02397382475849663,0.0022557509114542406,0.6972281973864501,0.002078191639623489
1882,38723113.txt,0.005506798640488123,0.008687203490171118,0.013647693836334874,0.010479857076385456,0.01528431850598357,0.005199233800979354,0.007895073071450757,0.9223472090267621,0.005304283968794102,0.005648328582650307
1883,38732649.txt,0.0025002106370632855,0.3419302405040972,0.032195287712792946,0.004758091197421979,0.006939424918855586,0.002360569271266347,0.0035845410305184846,0.6007589018948971,0.002408264413969519,0.002564468419117484
1884,38747243.txt,0.7705364143826154,0.004160524429346486,0.14366106386460226,0.03244403887401062,0.007320051913369492,0.0024900463385407008,0.0037811528672502003,0.03036122043255271,0.0025403575566438235,0.002705129341068275
1885,38783161.txt,0.046718665815431624,0.5179065238993796,0.010157700002783427,0.007799943750977216,0.011375806344470713,0.04648975158211136,0.005876141765896144,0.00456311708347193,0.3449084140614518,0.004203935694026141
1886,38789007.txt,0.0025002106370632855,0.8359098585007751,0.032195287712792946,0.004758091197421979,0.08493620670780473,0.002360569271266347,0.0035845410305184846,0.028782502109270046,0.002408264413969519,0.002564468419117484
1887,38796784.txt,0.012252712055405462,0.001695734676811219,0.013841807821321645,0.00204565912063172,0.21536148979100683,0.0010148859824850294,0.0015411114978905363,0.7501086584702106,0.0010353916852200756,0.0011025488990169174
1888,38799685.txt,0.002319311782094706,0.003658810630929875,0.3675152617219223,0.004413826903570034,0.12702641004783616,0.002189773950297841,0.0033251871351321605,0.4849384793509473,0.002234018185075631,0.002378920292193931
1889,38801220.txt,0.001564611539829632,0.002468239664627574,0.03641746777358455,0.8164734663058321,0.03688247149201999,0.0014772251056129973,0.0022431767060752893,0.0017419385638626468,0.03404690799602101,0.06668449485253419
1890,38801941.txt,0.0032639414163267355,0.03908973361783621,0.04202987197101516,0.006211529017477805,0.04299991779818107,0.0030816442808372178,0.8531977614800275,0.0036338639199267964,0.0031439086954104436,0.0033478278029610816
1891,38834259.txt,8.550884118169298E-4,0.0013489374717508217,0.011010999245510527,0.06386992209127938,0.10907496946740683,8.073301501996192E-4,0.1790620043388399,0.46332577718813295,0.16976790664095776,8.770649941052692E-4
1892,38835281.txt,0.005208539352508191,0.008216687080062186,0.17539453998843063,0.009912246943203409,0.0686184999786232,0.004917632843188778,0.007467460037713299,0.7099049967452002,0.005016993282669493,0.005342403748400575
1893,38837377.txt,0.7712598212891122,0.00646570827089927,0.010157700002783427,0.007799943750977216,0.011375806344470713,0.003869683613071332,0.005876141765896144,0.00456311708347193,0.003947870309131538,0.17468420757018627
1894,38846935.txt,0.004480517792059757,0.5661666457464104,0.011104225711957837,0.05511830339399797,0.012435838946800016,0.004230272626838155,0.006423698717829173,0.0049883223594985515,0.3304565033604818,0.004595671344126197
1895,38855829.txt,0.7844849073526404,0.003490446731835995,0.0054835308510995835,0.00421072016141496,0.16719717925022431,0.0020890092708444378,0.026180184704219248,0.0024633522645423,0.0021312175620790876,0.0022694518510995828
1896,38856426.txt,0.3286628175955608,0.012172365999630298,0.5005430966015194,0.01468420258624177,0.021416134561628625,0.0072850804996998034,0.011062445944573004,0.008590540883073382,0.007432275059193022,0.08815104026887986
1897,38866260.txt,0.0071429116440572885,0.01126823968249148,0.16625644639904863,0.013593504688657825,0.019825409235989983,0.006743966881981321,0.010240761112658007,0.007952461639393109,0.22971110203674194,0.5272651966789804
1898,38884465.txt,0.6234288412509582,0.1645465128335182,0.0054835308510995835,0.11925076737690227,0.07516514147783449,0.0020890092708444378,0.0031721752611217867,0.0024633522645423,0.0021312175620790876,0.0022694518510995828
1899,38898162.txt,0.14915148415335497,0.1875862869214852,0.008678232557052563,0.006663883141297807,0.009718921897108492,0.003306064789002061,0.47838228359534396,0.003898499780912771,0.003372863604786355,0.14924147955965575
1900,38910755.txt,0.039914099312879814,0.1875862869214852,0.15432807901101944,0.006663883141297807,0.046131383510600206,0.003306064789002061,0.18708259068741023,0.003898499780912771,0.36749747973970354,0.003591633105688883
1901,38927044.txt,0.24931084733540268,0.005329903931709671,0.043506514867977256,0.00642975976082287,0.009377465301775731,0.038323088416613395,0.28590931362073074,0.35509329494445663,0.0032543641935137146,0.0034654476269972787
1902,38936237.txt,0.003501637699388102,0.005523978854026648,0.9554022345078371,0.006663883141297807,0.009718921897108492,0.003306064789002061,0.005020282619951628,0.003898499780912771,0.003372863604786355,0.003591633105688883
1903,38937657.txt,0.003776673669416746,0.0059578595158668,0.009359863929104617,0.007187297532296809,0.04975477088012118,0.0035657394938921816,0.6337742279279098,0.27911204427112596,0.0036377850195514604,0.0038737377607143742
1904,3894026.txt,0.0012743431281141595,0.002010329193596158,0.003158249645641247,0.0024251719957072136,0.003536985375278177,0.0012031687189400498,0.0018270201566096508,0.0146702774674865,0.0012274786616493579,0.9686669756569773
1905,38944642.txt,0.28991290195645875,0.21561129733624462,0.002550004486189797,0.0019581097641759174,0.2275433426422483,0.2577572145665265,0.0014751555825055292,0.0011455318655477344,9.91079377853483E-4,0.0010553624222493826
1906,39008220.txt,0.002566948545587844,0.08412821111583214,0.006361759368906698,0.03157801292145959,0.2473608880210697,0.002423579744766572,0.0036802228774200957,0.6167949078400078,0.002472548009831358,0.002632921555118141
1907,3901293.txt,0.011362931608829771,0.017925496386418053,0.028161155292719155,0.8487421260245926,0.03153822705521478,0.010728290964640707,0.016290985237414915,0.012650762354794912,0.01094505535903833,0.011654969716336816
1908,39022687.txt,0.04936438132520476,0.0035726462095624543,0.0056126671498851035,0.004309881966396445,0.2888838692575478,0.002138205114305662,0.003246879495208135,0.0025213638272900745,0.0021814074042349686,0.6381686982503646
1909,39033048.txt,0.3024390736296718,0.00646570827089927,0.010157700002783427,0.007799943750977216,0.18185607822063082,0.003869683613071332,0.04849620973493617,0.00456311708347193,0.3875284820304918,0.04682400366306617
1910,39057770.txt,0.0017338711906075138,0.002735253791160522,0.004297114295603743,0.003299688885086667,0.14905240029208278,0.0016370312933671803,0.21884581080052243,0.4887403078181464,0.12788008831055944,0.0017784333228632895
1911,39066485.txt,0.0018686372917013515,0.002947852910941551,0.004631109890380425,0.23673282491035566,0.3160886914552346,0.0017642704596736451,0.002679057093816727,0.002080421419262238,0.4292904715282021,0.001916663040431679
1912,39116857.txt,0.0032639414163267355,0.03908973361783621,0.008089141451849418,0.006211529017477805,0.009059187279015335,0.0030816442808372178,0.9210792225183589,0.0036338639199267964,0.0031439086954104436,0.0033478278029610816
1913,39126019.txt,0.0027904002941970254,0.00440197231772655,0.5582294454385351,0.005310344208717363,0.007744856792496983,0.002634551301945902,0.004000584669885519,0.0031066534774534184,0.002687782233075379,0.4090934092659666
1914,39130057.txt,0.49647982863374124,0.0039441860853176,0.006196360449809892,0.004758091197421979,0.44892118838956746,0.002360569271266347,0.0035845410305184846,0.028782502109270046,0.002408264413969519,0.002564468419117484
1915,39131419.txt,0.0019441940736872056,0.0030670468715392144,0.18677209156093091,0.0036999493446507234,0.005396180866538264,0.001835607256320936,0.7710364504950504,0.0021645415148591634,0.0018726955769658282,0.02221124243945728
1916,39133855.txt,0.6925148233199763,0.004979978974312228,0.1063033206498767,0.10448734379651411,0.04158837787209506,0.03580705712349021,0.00452588660332037,0.0035145766219134714,0.0030407049481761044,0.0032379300903254476
1917,39137744.txt,0.0020261184752786775,0.024265273598553964,0.005021401077467753,0.0038558577182445197,0.06883052774821705,0.0019129560292990655,0.36107762607232546,0.5289804404643118,0.0019516071766781749,0.002078191639623489
1918,39139347.txt,0.006649041098199381,0.010489138391566262,0.2930439491583446,0.634925771178732,0.018454653699712175,0.006277679915093977,0.009532701075975817,0.007402617714888078,0.006404520013810767,0.006819927753677077
1919,39144444.txt,0.0010289182484738172,0.14071544970824854,0.002550004486189797,0.0019581097641759174,0.0028557997582600156,9.714512705398935E-4,0.05497218960250274,0.7929016353615064,9.91079377853483E-4,0.0010553624222493826
1920,39153316.txt,0.002566948545587844,0.00404946790688242,0.486834218622605,0.004885098518476352,0.19397505921510322,0.002423579744766572,0.0036802228774200957,0.29647993500420894,0.002472548009831358,0.002632921555118141
1921,39153503.txt,0.3110041250154855,0.2203024395340143,0.007341603312976381,0.005637505819970285,0.00822200473763338,0.0027968616937013345,0.1890721417776121,0.03410223058402772,0.002853372095334479,0.21866771542924443
1922,39162985.txt,0.1555880882275944,0.002594895893510001,0.004076610468703264,0.1399687580885834,0.021670274415756117,0.668640182913888,0.00235828396505829,0.0018313250900600546,0.001584406846715136,0.0016871740901312465
